"Nom de la Station","SALLUIT"
"Province","QUÉBEC"
"Latitude","62,18"
"Longitude","-75,67"
"Altitude","228,00"
"ID climatologique","7117800"
"ID de l'OMM","71641"
"ID de TC","MFX"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"E","Valeur estimée"
"M","Données manquantes"
"ND","Non disponible"

"Date/Heure","Année","Mois","Jour","Heure","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2015-01-07 00:00","2015","01","07","00:00","-30,5","","-33,9","","72","","21","","65","","","","96,53","","","","-52","","ND"
"2015-01-07 01:00","2015","01","07","01:00","-29,8","","-33,1","","73","","21","","69","","","","96,34","","","","-51","","ND"
"2015-01-07 02:00","2015","01","07","02:00","-28,3","","-31,3","","75","","23","","74","","","","96,29","","","","-49","","ND"
"2015-01-07 03:00","2015","01","07","03:00","-28,3","","-31,3","","75","","21","","81","","","","96,12","","","","-50","","ND"
"2015-01-07 04:00","2015","01","07","04:00","-28,3","","-31,2","","76","","21","","66","","","","96,10","","","","-49","","ND"
"2015-01-07 05:00","2015","01","07","05:00"
"2015-01-07 06:00","2015","01","07","06:00","-27,4","","-30,3","","76","","21","","66","","","","95,83","","","","-47","","ND"
"2015-01-07 07:00","2015","01","07","07:00","-26,9","","-29,7","","77","","21","","61","","","","95,78","","","","-46","","ND"
"2015-01-07 08:00","2015","01","07","08:00","-26,7","","-29,5","","77","","22","","54","","","","95,70","","","","-45","","ND"
"2015-01-07 09:00","2015","01","07","09:00","-26,5","","-29,4","","77","","21","","60","","","","95,59","","","","-45","","ND"
"2015-01-07 10:00","2015","01","07","10:00","-26,0","","-28,9","","76","","21","","56","","","","95,53","","","","-44","","ND"
"2015-01-07 11:00","2015","01","07","11:00","-26,0","","-28,8","","78","","20","","46","","","","95,45","","","","-43","","ND"
"2015-01-07 12:00","2015","01","07","12:00","-25,8","","-28,5","","78","","19","","43","","","","95,36","","","","-42","","ND"
"2015-01-07 13:00","2015","01","07","13:00","-25,1","","-27,8","","78","","21","","42","","","","95,31","","","","-41","","ND"
"2015-01-07 14:00","2015","01","07","14:00","-25,0","","-27,8","","77","","20","","37","","","","95,28","","","","-40","","ND"
"2015-01-07 15:00","2015","01","07","15:00","-24,8","","-27,6","","77","","20","","36","","","","95,24","","","","-40","","ND"
"2015-01-07 16:00","2015","01","07","16:00","-24,5","","-27,4","","77","","21","","32","","","","95,21","","","","-39","","ND"
"2015-01-07 17:00","2015","01","07","17:00","-23,9","","-26,8","","77","","22","","22","","","","95,17","","","","-36","","ND"
"2015-01-07 18:00","2015","01","07","18:00","-24,6","","-27,2","","78","","20","","33","","","","95,11","","","","-39","","ND"
"2015-01-07 19:00","2015","01","07","19:00","-24,3","","-26,9","","79","","20","","29","","","","95,06","","","","-38","","ND"
"2015-01-07 20:00","2015","01","07","20:00","-24,5","","-27,2","","78","","22","","25","","","","95,02","","","","-37","","ND"
"2015-01-07 21:00","2015","01","07","21:00","-25,3","","-28,0","","78","","24","","15","","","","95,01","","","","-36","","ND"
"2015-01-07 22:00","2015","01","07","22:00","-25,9","","-28,5","","79","","27","","15","","","","94,98","","","","-36","","ND"
"2015-01-07 23:00","2015","01","07","23:00","-25,7","","-28,4","","78","","23","","5","","","","94,94","","","","-31","","ND"
"2015-01-08 00:00","2015","01","08","00:00","-26,4","","-29,1","","78","","26","","15","","","","94,91","","","","-37","","ND"
"2015-01-08 01:00","2015","01","08","01:00","-25,8","","-28,5","","79","","27","","13","","","","94,92","","","","-35","","ND"
"2015-01-08 02:00","2015","01","08","02:00","-25,2","","-27,7","","79","","26","","13","","","","94,95","","","","-35","","ND"
"2015-01-08 03:00","2015","01","08","03:00","-24,7","","-27,2","","79","","32","","18","","","","94,97","","","","-36","","ND"
"2015-01-08 04:00","2015","01","08","04:00","-24,9","","-27,6","","78","","32","","12","","","","94,99","","","","-34","","ND"
"2015-01-08 05:00","2015","01","08","05:00","-25,3","","-28,0","","78","","30","","11","","","","94,98","","","","-34","","ND"
"2015-01-08 06:00","2015","01","08","06:00","-26,7","","-29,5","","77","","27","","16","","","","94,98","","","","-38","","ND"
"2015-01-08 07:00","2015","01","08","07:00","-27,7","","-30,6","","76","","23","","9","","","","95,00","","","","-36","","ND"
"2015-01-08 08:00","2015","01","08","08:00","-28,2","","-31,3","","75","","23","","15","","","","95,01","","","","-39","","ND"
"2015-01-08 09:00","2015","01","08","09:00","-28,0","","-31,2","","74","","25","","10","","","","95,03","","","","-37","","ND"
"2015-01-08 10:00","2015","01","08","10:00","-28,0","","-31,2","","74","","23","","11","","","","95,04","","","","-37","","ND"
"2015-01-08 11:00","2015","01","08","11:00","-27,5","","-30,7","","74","","23","","16","","","","95,04","","","","-39","","ND"
"2015-01-08 12:00","2015","01","08","12:00","-27,4","","-30,7","","74","","21","","11","","","","95,05","","","","-37","","ND"
"2015-01-08 13:00","2015","01","08","13:00","-27,4","","-30,6","","74","","24","","11","","","","95,05","","","","-37","","ND"
"2015-01-08 14:00","2015","01","08","14:00","-27,5","","-30,7","","75","","24","","8","","","","95,09","","","","-35","","ND"
"2015-01-08 15:00","2015","01","08","15:00","-28,6","","-31,9","","73","","20","","14","","","","95,11","","","","-39","","ND"
"2015-01-08 16:00","2015","01","08","16:00","-28,2","","-31,6","","73","","20","","22","","","","95,14","","","","-41","","ND"
"2015-01-08 17:00","2015","01","08","17:00","-28,6","","-31,8","","73","","27","","8","","","","95,17","","","","-36","","ND"
"2015-01-08 18:00","2015","01","08","18:00","-28,7","","-32,0","","73","","21","","4","","","","95,22","","","","-33","","ND"
"2015-01-08 19:00","2015","01","08","19:00","-29,2","","-32,5","","73","","24","","10","","","","95,25","","","","-38","","ND"
"2015-01-08 20:00","2015","01","08","20:00","-28,8","","-32,0","","74","","24","","8","","","","95,29","","","","-37","","ND"
"2015-01-08 21:00","2015","01","08","21:00","-29,0","","-32,1","","75","","25","","4","","","","95,28","","","","-33","","ND"
