dates,DB_R_uncorrected,DB_R_corrected,S_EC
2016-11-06 00:00:00+00:00,-3.1538461538461537,-3.162002935125523,-3.791666666666666
2016-11-07 00:00:00+00:00,-4.0,-4.008749964472732,-5.854166666666667
2016-11-08 00:00:00+00:00,-6.0,-6.009382531788668,-8.991666666666665
2016-11-09 00:00:00+00:00,-7.6923076923076925,-7.7023644985176025,-9.595833333333335
2016-11-10 00:00:00+00:00,-4.769230769230769,-4.780005995552455,-7.133333333333334
2016-11-11 00:00:00+00:00,-5.461538461538462,-5.473078812117701,-8.545833333333336
2016-11-12 00:00:00+00:00,-10.384615384615385,-10.396970246248332,-11.625000000000002
2016-11-13 00:00:00+00:00,-4.0,-4.013221570704372,-7.212500000000002
2016-11-14 00:00:00+00:00,-8.076923076923077,-8.091066498929107,-10.552173913043477
2016-11-15 00:00:00+00:00,-6.6923076923076925,-6.707431189504656,-7.620833333333333
2016-11-16 00:00:00+00:00,-3.6923076923076925,-3.7084727121732715,-5.433333333333334
2016-11-17 00:00:00+00:00,1.8461538461538463,1.828882486123314,-0.7291666666666665
2016-11-18 00:00:00+00:00,-2.5454545454545454,-2.5639005841042777,-5.483333333333333
2016-11-20 00:00:00+00:00,-7.153846153846154,-7.174861430650096,-9.049999999999999
2016-11-21 00:00:00+00:00,-6.0,-6.022417673428234,-8.716666666666667
2016-11-22 00:00:00+00:00,-6.230769230769231,-6.254673322349254,-9.825000000000001
2016-11-23 00:00:00+00:00,-8.846153846153847,-8.871632720202188,-10.879166666666668
2016-11-24 00:00:00+00:00,-5.230769230769231,-5.25791577190913,-7.816666666666666
2016-11-25 00:00:00+00:00,-3.6153846153846154,-3.644296410290905,-5.379166666666666
2016-11-26 00:00:00+00:00,-3.230769230769231,-3.2615487540427806,-6.175
2016-11-27 00:00:00+00:00,-5.615384615384615,-5.648139419442111,-9.216666666666669
2016-11-28 00:00:00+00:00,-11.153846153846153,-11.1886890626936,-12.925000000000002
2016-11-29 00:00:00+00:00,-11.615384615384615,-11.652433922124837,-13.258333333333335
2016-11-30 00:00:00+00:00,-9.538461538461538,-9.577841206367108,-12.104166666666666
2016-12-01 00:00:00+00:00,-8.384615384615385,-8.426455251578846,-11.799999999999999
2016-12-02 00:00:00+00:00,-6.538461538461538,-6.582897524614507,-11.637500000000003
2016-12-03 00:00:00+00:00,-6.3076923076923075,-6.35486662596411,-7.941666666666666
2016-12-04 00:00:00+00:00,-5.923076923076923,-5.973138292441818,-9.862499999999999
2016-12-05 00:00:00+00:00,-7.153846153846154,-7.206950014985982,-10.729166666666664
2016-12-06 00:00:00+00:00,-7.461538461538462,-7.517847194624761,-9.815000000000001
2016-12-07 00:00:00+00:00,-9.23076923076923,-9.2904523750455,-11.945833333333331
2016-12-08 00:00:00+00:00,-12.461538461538462,-12.52477293635943,-14.85
2016-12-09 00:00:00+00:00,-11.153846153846153,-11.220816480806551,-15.033333333333331
2016-12-10 00:00:00+00:00,-14.23076923076923,-14.301667756529941,-16.71666666666667
2016-12-11 00:00:00+00:00,-15.076923076923077,-15.1519501963174,-17.445833333333333
2016-12-12 00:00:00+00:00,-12.307692307692308,-12.387056686669789,-15.045833333333334
2016-12-13 00:00:00+00:00,-14.923076923076923,-15.006995721016626,-17.441666666666666
2016-12-14 00:00:00+00:00,-14.23076923076923,-14.319468321668651,-16.358333333333334
2016-12-15 00:00:00+00:00,-15.76923076923077,-15.862944961250802,-16.736363636363635
2016-12-16 00:00:00+00:00,-14.692307692307692,-14.791280945128308,-15.891666666666666
2016-12-17 00:00:00+00:00,-14.23076923076923,-14.335254870184903,-17.8875
2016-12-18 00:00:00+00:00,-19.307692307692307,-19.41795323685068,-22.4375
2016-12-20 00:00:00+00:00,-22.692307692307693,-22.814947251483723,-26.34583333333333
2016-12-21 00:00:00+00:00,-20.23076923076923,-20.360032302057867,-25.333333333333332
2016-12-22 00:00:00+00:00,-22.846153846153847,-22.982343665092245,-25.750000000000004
2016-12-23 00:00:00+00:00,-22.153846153846153,-22.297276516551808,-24.441666666666666
2016-12-24 00:00:00+00:00,-21.076923076923077,-21.227918517288273,-23.870833333333337
2016-12-25 00:00:00+00:00,-19.692307692307693,-19.85120365098537,-21.749999999999996
2016-12-26 00:00:00+00:00,-19.0,-19.167142984399717,-20.866666666666667
2016-12-27 00:00:00+00:00,-19.923076923076923,-20.098824657570553,-22.30434782608696
2016-12-28 00:00:00+00:00,-13.461538461538462,-13.646260027057401,-15.926086956521738
2016-12-29 00:00:00+00:00,-14.307692307692308,-14.501768269881724,-16.879166666666666
2016-12-30 00:00:00+00:00,-15.23076923076923,-15.434591755850008,-18.054166666666664
2016-12-31 00:00:00+00:00,-17.846153846153847,-18.06012680362979,-21.1125
2017-01-01 00:00:00+00:00,-16.846153846153847,-17.07069289749038,-20.585714285714285
2017-01-02 00:00:00+00:00,-19.307692307692307,-19.543224980083547,-22.970833333333335
2017-01-03 00:00:00+00:00,-23.692307692307693,-23.93927343664141,-26.79583333333333
2017-01-04 00:00:00+00:00,-21.153846153846153,-21.41269638597106,-22.783333333333335
2017-01-05 00:00:00+00:00,-14.76923076923077,-15.04042889362776,-15.883333333333333
2017-01-06 00:00:00+00:00,-11.923076923076923,-12.207098338035472,-13.674999999999999
2017-01-07 00:00:00+00:00,-16.153846153846153,-16.451178237249312,-19.462500000000002
2017-01-08 00:00:00+00:00,-21.384615384615383,-21.695757459441673,-25.350000000000005
2017-01-09 00:00:00+00:00,-28.692307692307693,-29.017770970965795,-31.512500000000003
2017-01-10 00:00:00+00:00,-27.923076923076923,-28.263384429699652,-31.570833333333326
2017-01-11 00:00:00+00:00,-25.076923076923077,-25.432609546760624,-25.825
2017-01-12 00:00:00+00:00,-17.307692307692307,-17.679304062761357,-19.82608695652174
2017-01-13 00:00:00+00:00,-15.076923076923077,-15.465017877088224,-18.55
2017-01-14 00:00:00+00:00,-22.0,-22.405146868686874,-24.658333333333342
2017-01-15 00:00:00+00:00,-22.923076923076923,-23.345855946842878,-25.8125
2017-01-16 00:00:00+00:00,-23.153846153846153,-23.594848255064093,-27.37083333333334
2017-01-17 00:00:00+00:00,-18.692307692307693,-19.152134374251833,-20.125000000000004
2017-01-18 00:00:00+00:00,-8.538461538461538,-9.017724602120563,-10.8125
2017-01-20 00:00:00+00:00,-17.46153846153846,-17.981549292485063,-19.02916666666667
2017-01-21 00:00:00+00:00,-25.384615384615383,-25.925956517561833,-21.166666666666668
2017-01-22 00:00:00+00:00,-17.0,-17.563321008215365,-16.962500000000002
2017-01-23 00:00:00+00:00,-12.307692307692308,-12.893651201541772,-16.858333333333334
2017-01-24 00:00:00+00:00,-17.23076923076923,-17.840031993226198,-18.213043478260868
2017-01-25 00:00:00+00:00,-7.615384615384615,-8.24862470587237,-11.116666666666667
2017-01-26 00:00:00+00:00,-9.153846153846153,-9.811743980154773,-10.558333333333334
2017-01-27 00:00:00+00:00,-8.23076923076923,-8.91401158886149,-10.195833333333335
2017-01-28 00:00:00+00:00,-12.384615384615385,-13.09389486620657,-14.333333333333337
2017-01-29 00:00:00+00:00,-13.307692307692308,-14.043706675563188,-16.575
2017-01-30 00:00:00+00:00,-15.23076923076923,-15.994220761848752,-20.862500000000004
2017-01-31 00:00:00+00:00,-22.384615384615383,-23.17621018094984,-26.804166666666664
2017-02-01 00:00:00+00:00,-24.76923076923077,-25.58967803703908,-27.67142857142857
2017-02-02 00:00:00+00:00,-24.46153846153846,-25.31154975863855,-27.849999999999998
2017-02-03 00:00:00+00:00,-26.53846153846154,-27.418749990440723,-31.433333333333334
2017-02-04 00:00:00+00:00,-29.76923076923077,-30.680510254822806,-31.974999999999994
2017-02-05 00:00:00+00:00,-27.384615384615383,-28.327599690838838,-26.09166666666667
2017-02-06 00:00:00+00:00,-22.46153846153846,-23.43694040924456,-27.45833333333333
2017-02-07 00:00:00+00:00,-23.076923076923077,-24.085453617496277,-27.470833333333328
2017-02-08 00:00:00+00:00,-23.923076923076923,-24.965444207127682,-28.237499999999997
