;T_uncorrected;T_corrected
2017-10-14 00:00:00+00:00;3.0;2.9823816615212317
2017-10-15 00:00:00+00:00;1.0;0.9833030858775844
2017-10-16 00:00:00+00:00;0.38461538461538464;0.3687692040122113
2017-10-17 00:00:00+00:00;-2.0;-2.015063566471956
2017-10-18 00:00:00+00:00;-1.3846153846153846;-1.3989620679343449
2017-10-19 00:00:00+00:00;0.0;-0.013693323498372895
2017-10-20 00:00:00+00:00;-2.076923076923077;-2.090024534893346
2017-10-21 00:00:00+00:00;-2.3076923076923075;-2.320261541962124
2017-10-22 00:00:00+00:00;1.2307692307692308;1.2186742561561097
2017-10-23 00:00:00+00:00;6.090909090909091;6.079231916760837
2017-10-24 00:00:00+00:00;0.38461538461538464;0.3733008852561908
2017-10-25 00:00:00+00:00;-1.3076923076923077;-1.3186980943219708
2017-10-26 00:00:00+00:00;-3.4615384615384617;-3.472288502511472
2017-10-27 00:00:00+00:00;-3.769230769230769;-3.779777204164318
2017-10-28 00:00:00+00:00;-4.230769230769231;-4.2411635384332005
2017-10-29 00:00:00+00:00;-3.0;-3.010293164182659
2017-10-30 00:00:00+00:00;-2.8461538461538463;-2.856396520967856
2017-10-31 00:00:00+00:00;-3.5384615384615383;-3.548704213275548
2017-11-01 00:00:00+00:00;-6.6923076923076925;-6.702600856490352
2017-11-02 00:00:00+00:00;-8.0;-8.010394307663969
2017-11-03 00:00:00+00:00;-8.461538461538462;-8.47208489647201
2017-11-04 00:00:00+00:00;-6.615384615384615;-6.626134656357625
2017-11-05 00:00:00+00:00;-6.3076923076923075;-6.318698094321971
2017-11-06 00:00:00+00:00;-5.461538461538462;-5.472852960897655
2017-11-07 00:00:00+00:00;-5.7272727272727275;-5.738949901420981
2017-11-08 00:00:00+00:00;-7.769230769230769;-7.78132574384389
2017-11-09 00:00:00+00:00;-7.923076923076923;-7.935646157346739
2017-11-10 00:00:00+00:00;-8.307692307692308;-8.320793765662577
2017-11-11 00:00:00+00:00;-8.23076923076923;-8.244462554267603
2017-11-12 00:00:00+00:00;-5.769230769230769;-5.783577452549729
2017-11-13 00:00:00+00:00;-8.615384615384615;-8.630448181856572
2017-11-14 00:00:00+00:00;-8.307692307692308;-8.323538488295481
2017-11-15 00:00:00+00:00;-7.846153846153846;-7.862850760276261
2017-11-16 00:00:00+00:00;-10.461538461538462;-10.479156800017229
2017-11-17 00:00:00+00:00;-12.23076923076923;-12.249382441311372
2017-11-18 00:00:00+00:00;-7.384615384615385;-7.404299859694736
2017-11-19 00:00:00+00:00;-1.3076923076923077;-1.3285275750044838
2017-11-20 00:00:00+00:00;0.0;-0.02206891554410875
2017-11-21 00:00:00+00:00;-0.8461538461538461;-0.8695427899954464
2017-11-22 00:00:00+00:00;-7.230769230769231;-7.255568305524137
2017-11-23 00:00:00+00:00;-6.923076923076923;-6.949380155139697
2017-11-24 00:00:00+00:00;-8.692307692307692;-8.720213235832135
2017-11-25 00:00:00+00:00;-7.75;-7.779610343621649
2017-11-26 00:00:00+00:00;-10.307692307692308;-10.33911448396481
2017-11-27 00:00:00+00:00;-8.538461538461538;-8.571807335959964
2017-11-28 00:00:00+00:00;-8.923076923076923;-8.958463101101405
2017-11-29 00:00:00+00:00;-7.769230769230769;-7.8067792750235245
2017-11-30 00:00:00+00:00;-7.0;-7.039838188367683
2017-12-01 00:00:00+00:00;-11.333333333333334;-11.375594188544913
2017-12-02 00:00:00+00:00;-9.846153846153847;-9.890976205961705
2017-12-03 00:00:00+00:00;-11.0;-11.047528781608866
2017-12-04 00:00:00+00:00;-6.833333333333333;-6.883719761117923
2017-12-05 00:00:00+00:00;-10.923076923076923;-10.976478757824829
2017-12-06 00:00:00+00:00;-2.8461538461538463;-2.902735615585389
2017-12-07 00:00:00+00:00;-2.375;-2.434933230291371
2017-12-08 00:00:00+00:00;-6.8;-6.863463448010193
2017-12-09 00:00:00+00:00;-11.0;-11.067179885875833
2017-12-10 00:00:00+00:00;-13.2;-13.271090239806899
2017-12-11 00:00:00+00:00;-13.0;-13.075202437999401
2017-12-12 00:00:00+00:00;-13.4;-13.479524640167053
2017-12-13 00:00:00+00:00;-15.307692307692308;-15.391757544040338
2017-12-14 00:00:00+00:00;-15.384615384615385;-15.473448229866207
2017-12-15 00:00:00+00:00;-9.23076923076923;-9.324605542881
2017-12-16 00:00:00+00:00;-8.8;-8.899084706037028
2017-12-17 00:00:00+00:00;-16.22222222222222;-16.326809539023962
2017-12-18 00:00:00+00:00;-16.666666666666668;-16.777020317746224
2017-12-19 00:00:00+00:00;-16.0;-16.11639342807591
2017-12-20 00:00:00+00:00;-18.46153846153846;-18.58425503607731
2017-12-21 00:00:00+00:00;-15.75;-15.879333219121913
2017-12-22 00:00:00+00:00;-24.153846153846153;-24.290099839920142
2017-12-23 00:00:00+00:00;-18.53846153846154;-18.681950026693528
2017-12-24 00:00:00+00:00;-16.90909090909091;-17.0601392283839
2017-12-25 00:00:00+00:00;-18.4;-18.558944045343413
2017-12-26 00:00:00+00:00;-18.846153846153847;-19.013340541777907
